,Longitude,Latitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,geometry
1150695,753914.73098,1627057.0136,-81.73243,-13.959242,0.00043799912,-0.10974387,934.3966,8249.704,15856.149,3149.751,934.3966,0.9230769,13909.421,39078.125,2830.182,POINT (753914.73098 1627057.0136)
1034241,792514.73098,1638557.0136,-100.38025,-20.395224,-0.00087860326,-0.030619238,8173.343,34260.773,44394.07,2908.6348,8173.343,1.0,27531.621,24533.432,28000.059,POINT (792514.73098 1638557.0136)
604942,737814.73098,1680757.0136,-82.323135,65.59952,0.00016748595,-0.08321111,14725.656,31708.662,24089.408,11336.073,14725.656,0.84615386,25163.828,10138.069,3818.1208,POINT (737814.73098 1680757.0136)
1061014,726614.73098,1635857.0136,-80.06896,-79.61616,-0.0011154887,0.0057284827,5071.762,26412.268,14984.933,9779.516,5071.762,0.84615386,25482.266,11709.787,5563.418,POINT (726614.73098 1635857.0136)
1279888,770014.73098,1614357.0136,-88.023865,-48.562347,0.0017056376,-0.22687045,7264.123,15244.743,13045.566,9798.364,7264.123,0.9230769,3227.9307,54293.305,2615.6448,POINT (770014.73098 1614357.0136)
79127,785114.73098,1732557.0136,-96.53123,123.332695,-0.000118239936,0.015881222,19918.43,43907.027,36372.332,6127.0405,19918.43,0.6923077,7365.9897,2836.865,7693.5786,POINT (785114.73098 1732557.0136)
387174,703414.73098,1702157.0136,-82.01234,24.752827,0.0005248853,-0.057035252,10120.94,2848.888,7431.152,1331.3857,2848.888,0.6923077,65157.31,663.7247,4618.053,POINT (703414.73098 1702157.0136)
831563,743114.73098,1658457.0136,-78.653984,-122.746086,0.0015089496,-0.37405768,2815.0698,12121.593,3087.7148,5256.0234,2815.0698,0.6923077,7814.0864,6125.7637,9815.334,POINT (743114.73098 1658457.0136)
1249573,786514.73098,1617357.0136,-91.26178,-65.56389,-0.00028378048,-0.014780098,10662.007,13574.104,29811.27,2438.828,10662.007,0.9230769,7968.9043,46377.06,6851.273,POINT (786514.73098 1617357.0136)
723392,695614.73098,1669057.0136,0.0,0.0,0.0,0.0,18144.615,149.81061,8168.673,2939.0166,149.81061,1.0,54105.88,1196.9724,12509.261,POINT (695614.73098 1669057.0136)
1535889,766914.73098,1589157.0136,-85.89777,-394.1031,-0.00095903437,-0.19457005,18127.854,4980.4766,4894.4316,4635.7983,4980.4766,0.7692308,3547.216,49504.5,13335.767,POINT (766914.73098 1589157.0136)
1393710,773014.73098,1603157.0136,-90.1254,-39.86633,0.0002605503,-0.016124953,5742.123,7483.5786,12138.105,2780.7778,5742.123,0.9230769,1460.1438,63501.99,1369.7498,POINT (773014.73098 1603157.0136)
1630335,762714.73098,1579857.0136,-80.62543,-87.5529,-0.00018038663,-0.1393462,20140.08,8238.765,12491.082,3101.0645,8238.765,0.9230769,9408.002,39488.57,23300.107,POINT (762714.73098 1579857.0136)
1344481,726914.73098,1607957.0136,-77.8158,-36.981323,-0.000355108,0.04488899,9051.006,40906.754,19503.61,1132.6132,9051.006,0.9230769,27974.9,32822.613,2316.744,POINT (726914.73098 1607957.0136)
88561,712514.73098,1731557.0136,-84.92157,19.695232,0.0015945759,-0.083589084,17113.99,25781.988,30609.58,9684.142,17113.99,0.84615386,71609.46,6636.992,2875.3953,POINT (712514.73098 1731557.0136)
929820,713614.73098,1648757.0136,-83.46985,-107.10986,-0.0012163911,0.077642605,4135.067,14288.452,21031.395,2583.3318,4135.067,0.84615386,33264.445,3258.3694,2545.6777,POINT (713614.73098 1648757.0136)
782519,715514.73098,1663257.0136,-86.50883,-71.25718,-0.002196198,0.057252675,12890.195,5592.06,12582.925,3933.769,5592.06,0.7692308,33415.87,1158.5602,2235.1174,POINT (715514.73098 1663257.0136)
420772,710414.73098,1698857.0136,-85.4933,32.046593,-0.0040435125,-0.017538719,3590.073,4692.0522,4096.607,1551.9495,3590.073,0.9230769,57620.527,5668.0435,5551.5337,POINT (710414.73098 1698857.0136)
773376,715614.73098,1664157.0136,-86.18166,-89.31035,-0.0022939523,-0.011137399,13763.465,5868.1475,12424.535,4596.1206,5868.1475,0.84615386,33651.246,416.8412,2992.177,POINT (715614.73098 1664157.0136)
1462904,783614.73098,1596357.0136,-87.79842,64.87947,-0.0005921623,0.1510316,14188.459,4769.8784,12594.01,5338.9194,4769.8784,0.9230769,2734.5117,65569.734,4086.004,POINT (783614.73098 1596357.0136)
879463,757914.73098,1653757.0136,-87.22168,93.819305,-0.00028284712,-0.07444285,8615.316,9675.767,12528.603,1009.83026,8615.316,0.84615386,2280.8076,14909.797,2964.607,POINT (757914.73098 1653757.0136)
686795,795114.73098,1672757.0136,-107.65385,38.143898,-0.0010366753,-0.004473616,19723.98,19553.064,22988.713,1719.841,19553.064,0.6923077,1956.2563,9601.265,8800.963,POINT (795114.73098 1672757.0136)
728737,722114.73098,1668557.0136,-70.63779,167.1881,0.0007042127,0.36002892,18090.617,13544.247,18582.908,316.2277,13544.247,0.6923077,30007.164,7147.9404,3742.3723,POINT (722114.73098 1668557.0136)
1632337,759714.73098,1579657.0136,-77.35779,-13.104196,0.0018062053,0.21740843,17191.877,11229.473,10228.241,2648.8276,11229.473,0.7692308,11837.466,37606.117,23441.76,POINT (759714.73098 1579657.0136)
52027,716714.73098,1735157.0136,-84.914604,22.702791,0.00010131085,-0.012898588,19907.404,30740.209,33556.555,6775.46,19907.404,0.6923077,69395.695,2787.0366,1172.8903,POINT (716714.73098 1735157.0136)
1271855,779514.73098,1615157.0136,-89.47217,-48.157146,0.00043787877,-0.31890488,13271.66,10752.804,22531.197,5404.353,10752.804,0.9230769,3310.2686,50083.746,2683.0703,POINT (779514.73098 1615157.0136)
763142,708214.73098,1665157.0136,-73.316154,-730.68427,0.006635082,-0.09742166,17392.754,1823.3351,5082.2935,1511.5082,1823.3351,0.6923077,40924.51,1288.0392,4648.326,POINT (708214.73098 1665157.0136)
1382826,700614.73098,1604157.0136,-66.72524,-117.37871,0.0009731442,-0.32192543,1414.4043,17765.426,41278.9,13737.295,1414.4043,0.53846157,48385.055,12189.231,10771.47,POINT (700614.73098 1604157.0136)
1497015,740314.73098,1592957.0136,-82.25951,12.868836,-0.00085918454,-0.07197703,2065.5674,31584.502,7409.579,1242.8074,2065.5674,0.9230769,7883.8774,44791.582,4914.3345,POINT (740314.73098 1592957.0136)
385205,709714.73098,1702357.0136,-81.17523,108.688805,0.0002642831,-0.0090499045,7102.2446,5294.423,7657.029,2507.2253,5294.423,0.9230769,60418.105,5470.739,5617.452,POINT (709714.73098 1702357.0136)
1352861,752114.73098,1607157.0136,-82.736916,-11.670492,0.000113501235,0.048172828,11941.062,26717.887,6781.758,3929.265,11941.062,0.61538464,13611.154,48406.547,1769.6119,POINT (752114.73098 1607157.0136)
1137349,740114.73098,1628357.0136,-75.36927,-23.060175,0.0008164391,0.08853258,2101.103,18765.555,4900.5107,5426.2544,2101.103,0.7692308,24013.242,26914.816,2925.0989,POINT (740114.73098 1628357.0136)
1240461,789714.73098,1618257.0136,-90.33503,-56.68998,0.0004821613,-0.040695086,7384.4155,15767.239,32362.701,2505.7695,7384.4155,0.7692308,9450.939,45085.76,8997.663,POINT (789714.73098 1618257.0136)
802852,716814.73098,1661257.0136,-86.79859,-78.04739,-0.001689729,0.13601425,10744.82,6974.848,14525.259,4285.7686,6974.848,0.84615386,31525.334,3156.4495,2772.5305,POINT (716814.73098 1661257.0136)
